epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7274,1.34736,3.77052,1.16591,0.00483,0.14175,0.00447,0.00188,1.27993,3.98692,1.08615,6.25e-05,6.25e-05,6.25e-05
2,29.1232,1.15012,3.60071,1.03834,0.01464,0.45039,0.09375,0.04656,1.1364,3.87542,1.01549,0.000132962,0.000132962,0.000132962
3,41.5679,1.14993,3.25256,1.01417,0.02047,0.58944,0.21022,0.12902,1.15445,3.72759,0.98316,0.000198475,0.000198475,0.000198475
4,53.8446,1.10107,2.68913,1.01762,0.02189,0.61281,0.20063,0.12292,1.10425,3.54759,0.95179,0.000259038,0.000259038,0.000259038
5,66.0964,1.17898,2.28654,1.03946,0.98149,0.07971,0.19622,0.11632,1.17425,3.21565,0.9994,0.00031465,0.00031465,0.00031465
6,78.2645,1.16542,1.92281,1.04003,0.69945,0.15171,0.45564,0.3058,1.29842,2.67918,1.04898,0.000365313,0.000365313,0.000365313
7,91.9076,1.15411,1.79127,1.05627,0.64548,0.52589,0.62082,0.4124,1.34544,2.27167,1.0333,0.000411025,0.000411025,0.000411025
8,108.446,1.0827,1.6816,1.01915,0.64486,0.58306,0.64693,0.43413,1.28508,2.2238,1.00151,0.000451787,0.000451787,0.000451787
9,124.871,1.12106,1.46025,1.03847,0.63203,0.56279,0.6463,0.43568,1.25285,2.19957,0.99467,0.0004876,0.0004876,0.0004876
10,141.252,1.04019,1.44899,1.01779,0.65014,0.58051,0.67106,0.46063,1.28176,2.21031,1.03508,0.000518462,0.000518462,0.000518462
11,158.024,1.10296,1.39165,1.02446,0.64592,0.57659,0.68021,0.45961,1.24566,2.17876,1.0285,0.000544375,0.000544375,0.000544375
12,174.352,1.07662,1.4347,0.97224,0.64953,0.64166,0.69935,0.49209,1.1808,2.05295,1.00833,0.000565338,0.000565338,0.000565338
13,190.865,1.04711,1.3246,1.00923,0.6622,0.73343,0.73869,0.52506,1.13364,1.87899,0.99514,0.00058135,0.00058135,0.00058135
14,207.086,1.07816,1.28191,1.01517,0.64835,0.7797,0.77595,0.56574,1.15393,1.73329,1.00575,0.000592413,0.000592413,0.000592413
15,223.08,1.03093,1.33527,1.01031,0.64835,0.7797,0.77595,0.56574,1.15393,1.73329,1.00575,0.000598525,0.000598525,0.000598525
16,239.617,1.12717,1.27861,0.99474,0.64478,0.85941,0.8015,0.56785,1.177,1.65205,1.01375,0.000599687,0.000599687,0.000599687
17,260.752,1.01926,1.26126,0.98997,0.6603,0.89532,0.82832,0.58066,1.21439,1.54427,1.03277,0.00059,0.00059,0.00059
18,285,1.04601,1.22575,1.00404,0.69254,0.87249,0.8516,0.59037,1.27115,1.45157,1.0784,0.00054875,0.00054875,0.00054875
19,310.294,0.983,1.14266,0.96918,0.69254,0.87249,0.8516,0.59037,1.27115,1.45157,1.0784,0.0005075,0.0005075,0.0005075
20,333.995,0.93574,1.11253,0.96338,0.69495,0.8801,0.8461,0.58809,1.22043,1.36952,1.0617,0.00046625,0.00046625,0.00046625
21,361.676,0.94207,1.31409,0.9674,0.77229,0.86032,0.84143,0.59566,1.20772,1.31762,1.06177,0.000425,0.000425,0.000425
22,385.841,0.9558,1.19806,0.95416,0.72327,0.8832,0.82152,0.59021,1.19939,1.32651,1.06809,0.00038375,0.00038375,0.00038375
23,409.568,0.94284,1.22411,0.98335,0.72327,0.8832,0.82152,0.59021,1.19939,1.32651,1.06809,0.0003425,0.0003425,0.0003425
24,434.672,0.92669,1.21856,0.97008,0.68684,0.9042,0.802,0.57042,1.20871,1.36605,1.08442,0.00030125,0.00030125,0.00030125
25,459.521,0.89621,1.13393,0.95059,0.69179,0.89846,0.78223,0.55802,1.19875,1.37201,1.08373,0.00026,0.00026,0.00026
26,485.286,0.91792,1.19273,0.9384,0.70367,0.88115,0.77828,0.55657,1.18022,1.35286,1.07094,0.00021875,0.00021875,0.00021875
27,516.259,0.93991,1.23377,0.98963,0.70367,0.88115,0.77828,0.55657,1.18022,1.35286,1.07094,0.0001775,0.0001775,0.0001775
28,544.184,0.90531,1.19378,0.94484,0.70129,0.91964,0.78472,0.55965,1.16796,1.31764,1.05665,0.00013625,0.00013625,0.00013625
29,569.158,0.9166,1.14677,0.94496,0.68043,0.87909,0.7953,0.57025,1.17396,1.2799,1.06451,9.5e-05,9.5e-05,9.5e-05
30,594.382,0.91325,1.03798,0.9533,0.68073,0.8914,0.81161,0.5826,1.17058,1.26691,1.06223,5.375e-05,5.375e-05,5.375e-05
